epoch,phase,loss,accuracy,lr
0,train,1.9458450011889954,0.2692599892616272,0.0002999920495579992
0,evaluation,1.7342744009404243,0.3458999991416931,0.0002999920495579992
1,train,1.7595582740081241,0.3391999900341034,0.00029996819910385256
1,evaluation,1.6108717661869676,0.4099999964237213,0.00029996819910385256
2,train,1.6489658733767927,0.3927600085735321,0.000299928451253031
2,evaluation,1.5389693764191639,0.4404999911785126,0.000299928451253031
3,train,1.539402612639815,0.43595999479293823,0.0002998728103643344
3,evaluation,1.4367891716051706,0.48579999804496765,0.0002998728103643344
4,train,1.4760241542021026,0.46125999093055725,0.00029980128253941313
4,evaluation,1.3464894309828552,0.5174000263214111,0.00029980128253941313
5,train,1.4230413836286502,0.4842199981212616,0.0002997138756220993
5,evaluation,1.3157461096968832,0.5309000015258789,0.0002997138756220993
6,train,1.390862324353679,0.49417999386787415,0.0002996105991975463
6,evaluation,1.3107762713975544,0.5221999883651733,0.0002996105991975463
7,train,1.3556084169451232,0.5061399936676025,0.000299491464591178
7,evaluation,1.2733469281015517,0.5388000011444092,0.000299491464591178
8,train,1.3226656557044105,0.5236600041389465,0.00029935648486744646
8,evaluation,1.1809153737901132,0.5730999708175659,0.00029935648486744646
9,train,1.3006319359440328,0.531059980392456,0.00029920567482839947
9,evaluation,1.1860962200768386,0.5748999714851379,0.00029920567482839947
10,train,1.2711224046814473,0.541920006275177,0.00029903905101205734
10,evaluation,1.1635865335223041,0.5810999870300293,0.00029903905101205734
11,train,1.2516331925721425,0.5478399991989136,0.0002988566316905992
11,evaluation,1.1362236941917032,0.593999981880188,0.0002988566316905992
12,train,1.2350597543179835,0.5546000003814697,0.00029865843686835924
12,evaluation,1.12590384860582,0.5942000150680542,0.00029865843686835924
13,train,1.2165632107678581,0.560920000076294,0.00029844448827963323
13,evaluation,1.1502287010603314,0.5910000205039978,0.00029844448827963323
14,train,1.207528035506568,0.5651400089263916,0.0002982148093862949
14,evaluation,1.0887463620946378,0.6115000247955322,0.0002982148093862949
15,train,1.190719441837057,0.5710800290107727,0.00029796942537522314
15,evaluation,1.0807555068897297,0.6151000261306763,0.00029796942537522314
16,train,1.1808210966532187,0.5772799849510193,0.00029770836315553997
16,evaluation,1.1226867580715614,0.5958999991416931,0.00029770836315553997
17,train,1.1635200794395584,0.5834599733352661,0.0002974316513556598
17,evaluation,1.0648260071307798,0.6229000091552734,0.0002974316513556598
18,train,1.1543080446970126,0.5868200063705444,0.0002971393203201496
18,evaluation,1.0417008882836452,0.6310999989509583,0.0002971393203201496
19,train,1.1414609170325882,0.5900400280952454,0.00029683140210640173
19,evaluation,1.020199158523656,0.6410999894142151,0.00029683140210640173
20,train,1.1277729295708638,0.5965399742126465,0.00029650793048111826
20,evaluation,1.0417507781258113,0.6252999901771545,0.00029650793048111826
21,train,1.1220684473776756,0.5980200171470642,0.0002961689409166081
21,evaluation,1.1216780950751486,0.6100999712944031,0.0002961689409166081
22,train,1.1059363949329346,0.6036999821662903,0.0002958144705868971
22,evaluation,0.9969391324852086,0.6478999853134155,0.0002958144705868971
23,train,1.1001663102823145,0.6071199774742126,0.0002954445583636514
23,evaluation,1.0257501149479347,0.640999972820282,0.0002954445583636514
24,train,1.085800201996513,0.6107000112533569,0.00029505924481191474
24,evaluation,0.9946172290210482,0.650600016117096,0.00029505924481191474
25,train,1.080110304038543,0.614359974861145,0.0002946585721856603
25,evaluation,0.9569316725187664,0.6672000288963318,0.0002946585721856603
26,train,1.0729198881122461,0.6168599724769592,0.0002942425844231566
26,evaluation,0.9949270916890495,0.6601999998092651,0.0002942425844231566
27,train,1.0655955189024395,0.6188200116157532,0.0002938113271421496
27,evaluation,0.9652928287469889,0.6626999974250793,0.0002938113271421496
28,train,1.059991388369704,0.6201599836349487,0.00029336484763486
