epoch,phase,loss,accuracy,lr
0,train,1.9826461652965497,0.25745999813079834,0.0002999920495579992
0,evaluation,1.7966264259966114,0.33329999446868896,0.0002999920495579992
1,train,1.794813130822633,0.32659998536109924,0.00029996819910385256
1,evaluation,1.8273040614550626,0.322299987077713,0.00029996819910385256
2,train,1.7086885713250435,0.362280011177063,0.000299928451253031
2,evaluation,1.6966266269925274,0.3714999854564667,0.000299928451253031
3,train,1.6214044545312671,0.40035998821258545,0.0002998728103643344
3,evaluation,1.6800640534751023,0.39629998803138733,0.0002998728103643344
4,train,1.546863372368581,0.43366000056266785,0.00029980128253941313
4,evaluation,1.4816398726233952,0.4578999876976013,0.00029980128253941313
5,train,1.4891999856285427,0.4591600000858307,0.0002997138756220993
5,evaluation,1.4203318402737002,0.48750001192092896,0.0002997138756220993
6,train,1.4431496501883583,0.47172001004219055,0.0002996105991975463
6,evaluation,1.346304546428632,0.5123000144958496,0.0002996105991975463
7,train,1.4147191212305328,0.4846799969673157,0.000299491464591178
7,evaluation,1.292661224739461,0.5332000255584717,0.000299491464591178
8,train,1.381968917139351,0.49733999371528625,0.00029935648486744646
8,evaluation,1.2763518955134139,0.5404000282287598,0.00029935648486744646
9,train,1.357751906680329,0.5068600177764893,0.00029920567482839947
9,evaluation,1.2692505694642853,0.5421000123023987,0.00029920567482839947
10,train,1.3368316669293376,0.5135400295257568,0.00029903905101205734
10,evaluation,1.2271803376040882,0.5605000257492065,0.00029903905101205734
11,train,1.3152653085606179,0.5242000222206116,0.0002988566316905992
11,evaluation,1.1677255464505545,0.5799999833106995,0.0002988566316905992
12,train,1.300269492142036,0.5301200151443481,0.00029865843686835924
12,evaluation,1.2018620832056939,0.5687999725341797,0.00029865843686835924
13,train,1.2855847214189027,0.5323799848556519,0.00029844448827963323
13,evaluation,1.1783193772352194,0.5778999924659729,0.00029844448827963323
14,train,1.2647234009354926,0.54066002368927,0.0002982148093862949
14,evaluation,1.1445299024823345,0.5896000266075134,0.0002982148093862949
15,train,1.2505807873538084,0.5490800142288208,0.00029796942537522314
15,evaluation,1.0952580148660684,0.6043999791145325,0.00029796942537522314
16,train,1.2379677772826856,0.5525199770927429,0.00029770836315553997
16,evaluation,1.1197910640813127,0.6031000018119812,0.00029770836315553997
17,train,1.2279390674417892,0.5568600296974182,0.0002974316513556598
17,evaluation,1.090158162992212,0.6075000166893005,0.0002974316513556598
18,train,1.2202772316725359,0.5595600008964539,0.0002971393203201496
18,evaluation,1.1089241700836374,0.5989000201225281,0.0002971393203201496
19,train,1.2035884543148148,0.5677800178527832,0.00029683140210640173
19,evaluation,1.0977690446225903,0.6075999736785889,0.00029683140210640173
20,train,1.1943870839255546,0.5701799988746643,0.00029650793048111826
20,evaluation,1.0528877422779421,0.6274999976158142,0.00029650793048111826
21,train,1.187497284253845,0.5728399753570557,0.0002961689409166081
21,evaluation,1.0896248681635796,0.6134999990463257,0.0002961689409166081
22,train,1.1773375269702024,0.5779600143432617,0.0002958144705868971
22,evaluation,1.0469946755638606,0.6269000172615051,0.0002958144705868971
23,train,1.1721799128195818,0.5821599960327148,0.0002954445583636514
23,evaluation,1.0195196783995326,0.6327999830245972,0.0002954445583636514
24,train,1.1617259181978759,0.5826799869537354,0.00029505924481191474
24,evaluation,1.0635445879984506,0.6187000274658203,0.00029505924481191474
25,train,1.1558071149279698,0.5868200063705444,0.0002946585721856603
25,evaluation,0.9946195007879522,0.6435999870300293,0.0002946585721856603
26,train,1.139882899763639,0.5925800204277039,0.0002942425844231566
26,evaluation,1.022087894663026,0.6366000175476074,0.0002942425844231566
27,train,1.1386829971352501,0.593280017375946,0.0002938113271421496
27,evaluation,1.0083805345281769,0.636900007724762,0.0002938113271421496
28,train,1.1330823419648972,0.5939199924468994,0.00029336484763486
28,evaluation,0.9743081980113741,0.6559000015258789,0.00029336484763486
29,train,1.1240543813046897,0.5985199809074402,0.00029290319486279713
29,evaluation,0.9850816741774354,0.6488000154495239,0.00029290319486279713
30,train,1.1193715702847142,0.5997800230979919,0.0002924264194513898
30,evaluation,0.9621422207808192,0.657800018787384,0.0002924264194513898
31,train,1.114057033568087,0.6026800274848938,0.00029193457368443463
31,evaluation,0.9842001433613934,0.6525999903678894,0.00029193457368443463
32,train,1.1036965581767089,0.6063799858093262,0.0002914277114983626
32,evaluation,0.9893752585483503,0.6471999883651733,0.0002914277114983626
33,train,1.0999925203640442,0.6053599715232849,0.00029090588847632414
33,evaluation,0.9527638177328472,0.6646000146865845,0.00029090588847632414
34,train,1.0950987735367796,0.6089199781417847,0.0002903691618420941
34,evaluation,0.9561636274373984,0.6643999814987183,0.0002903691618420941
35,train,1.0915986258355552,0.6131799817085266,0.0002898175904537963
35,evaluation,0.957184461098683,0.6629999876022339,0.0002898175904537963
36,train,1.082777415699971,0.6129800081253052,0.00028925123479744914
36,evaluation,0.9869384169578552,0.6499000191688538,0.00028925123479744914
37,train,1.0783353847310977,0.6165400147438049,0.0002886701569803325
37,evaluation,0.942178063754794,0.671500027179718,0.0002886701569803325
38,train,1.0799786204572224,0.6158400177955627,0.00028807442072417716
38,evaluation,0.965000885196879,0.6632000207901001,0.00028807442072417716
39,train,1.0741713861065447,0.6168400049209595,0.000287464091358177
39,evaluation,0.9537235709685313,0.666100025177002,0.000287464091358177
40,train,1.0628102278465505,0.6206600069999695,0.00028683923581182487
40,evaluation,0.9275207263004931,0.6717000007629395,0.00028683923581182487
41,train,1.0640452467572048,0.6194000244140625,0.00028619992260757275
41,evaluation,0.9170872968963429,0.6765000224113464,0.00028619992260757275
42,train,1.060562111075272,0.6237199902534485,0.00028554622185331796
42,evaluation,0.9461848019044611,0.6692000031471252,0.00028554622185331796
43,train,1.0539240087084758,0.6225600242614746,0.00028487820523471477
43,evaluation,0.8999477428726003,0.6844000220298767,0.00028487820523471477
44,train,1.055968305338984,0.6233400106430054,0.00028419594600731323
44,evaluation,0.9085749583908275,0.6863999962806702,0.00028419594600731323
45,train,1.0498404010482456,0.6260799765586853,0.00028349951898852603
45,evaluation,0.934608190120021,0.6776999831199646,0.00028349951898852603
46,train,1.0456322029118648,0.6279799938201904,0.00028278900054942377
46,evaluation,0.906352439258672,0.6829000115394592,0.00028278900054942377
