epoch,phase,loss,accuracy,lr
0,train,1.985062227224755,0.2570199966430664,0.0002999920495579992
0,evaluation,1.857170157794711,0.3140000104904175,0.0002999920495579992
1,train,1.8012786164613026,0.3220599889755249,0.00029996819910385256
1,evaluation,1.7553101989287365,0.3431999981403351,0.00029996819910385256
2,train,1.708795949931035,0.3629400134086609,0.000299928451253031
2,evaluation,1.6795749241792703,0.3856000006198883,0.000299928451253031
3,train,1.6300718327007635,0.3966600000858307,0.0002998728103643344
3,evaluation,1.5366528864148297,0.4505999982357025,0.0002998728103643344
4,train,1.559697180147976,0.4270400106906891,0.00029980128253941313
4,evaluation,1.4455214919923227,0.47369998693466187,0.00029980128253941313
5,train,1.506890753346026,0.45089998841285706,0.0002997138756220993
5,evaluation,1.4207764743249627,0.4887999892234802,0.0002997138756220993
6,train,1.4700701761123773,0.46182000637054443,0.0002996105991975463
6,evaluation,1.412124778650984,0.4876999855041504,0.0002996105991975463
7,train,1.4347376872206588,0.4767799973487854,0.000299491464591178
7,evaluation,1.331720946710321,0.5199000239372253,0.000299491464591178
8,train,1.4097819663679507,0.48594000935554504,0.00029935648486744646
8,evaluation,1.2871388227124758,0.5343999862670898,0.00029935648486744646
9,train,1.381981686557955,0.4976600110530853,0.00029920567482839947
9,evaluation,1.2450801435905168,0.553600013256073,0.00029920567482839947
10,train,1.3628935060842569,0.5049800276756287,0.00029903905101205734
10,evaluation,1.2744303624841231,0.5415999889373779,0.00029903905101205734
11,train,1.3484858771419281,0.5099599957466125,0.0002988566316905992
11,evaluation,1.2329252128359638,0.5501999855041504,0.0002988566316905992
12,train,1.3243036956128562,0.5219200253486633,0.00029865843686835924
12,evaluation,1.2545662228065202,0.5486000180244446,0.00029865843686835924
13,train,1.3048837447105466,0.528980016708374,0.00029844448827963323
13,evaluation,1.2053876458844053,0.5590000152587891,0.00029844448827963323
14,train,1.2991084698825845,0.5295600295066833,0.0002982148093862949
14,evaluation,1.1526095233386076,0.5824000239372253,0.0002982148093862949
15,train,1.2780414027021365,0.537559986114502,0.00029796942537522314
15,evaluation,1.1456411790244188,0.58160001039505,0.00029796942537522314
16,train,1.269358281589225,0.5421199798583984,0.00029770836315553997
16,evaluation,1.1351035410844827,0.5831000208854675,0.00029770836315553997
17,train,1.2516504452966364,0.5497199892997742,0.0002974316513556598
17,evaluation,1.1533903766281997,0.5848000049591064,0.0002974316513556598
18,train,1.2492653506491191,0.5484200119972229,0.0002971393203201496
18,evaluation,1.141689489913892,0.5893999934196472,0.0002971393203201496
19,train,1.2382530553261641,0.5528799891471863,0.00029683140210640173
19,evaluation,1.1476452939118011,0.5827999711036682,0.00029683140210640173
20,train,1.2265745747424757,0.557640016078949,0.00029650793048111826
20,evaluation,1.0924742055844656,0.6032999753952026,0.00029650793048111826
21,train,1.2136815728433907,0.5623199939727783,0.0002961689409166081
21,evaluation,1.1146530599533757,0.5974000096321106,0.0002961689409166081
22,train,1.207705989213246,0.5655800104141235,0.0002958144705868971
22,evaluation,1.0425536443915548,0.6233000159263611,0.0002958144705868971
23,train,1.2011005613200194,0.567080020904541,0.0002954445583636514
23,evaluation,1.0642985784554784,0.6137999892234802,0.0002954445583636514
24,train,1.1869358513361352,0.5737400054931641,0.00029505924481191474
24,evaluation,1.0633184034613115,0.6148999929428101,0.00029505924481191474
25,train,1.1868348697872113,0.5737199783325195,0.0002946585721856603
