epoch,phase,loss,accuracy,lr
0,train,1.984342539097037,0.25328001379966736,0.0002999920495579992
0,evaluation,1.857222309595422,0.320499986410141,0.0002999920495579992
1,train,1.7786583912646985,0.3332200050354004,0.00029996819910385256
1,evaluation,1.7098352833639217,0.36559998989105225,0.00029996819910385256
2,train,1.6788600981997712,0.37845999002456665,0.000299928451253031
2,evaluation,1.6267240726495091,0.4007999897003174,0.000299928451253031
3,train,1.5793740276790336,0.4211600124835968,0.0002998728103643344
3,evaluation,1.5027941284300406,0.4560000002384186,0.0002998728103643344
4,train,1.5104102585321801,0.4468599855899811,0.00029980128253941313
4,evaluation,1.4088178148752526,0.4839000105857849,0.00029980128253941313
5,train,1.4636084945000651,0.46851998567581177,0.0002997138756220993
5,evaluation,1.3743899502331698,0.4991999864578247,0.0002997138756220993
6,train,1.4241057000196804,0.4808399975299835,0.0002996105991975463
6,evaluation,1.3111739294438423,0.525600016117096,0.0002996105991975463
7,train,1.388813983144053,0.495059996843338,0.000299491464591178
7,evaluation,1.2807881545416917,0.5374000072479248,0.000299491464591178
8,train,1.3665822945592347,0.5040799975395203,0.00029935648486744646
8,evaluation,1.2736953843998005,0.5378999710083008,0.00029935648486744646
9,train,1.3373931051825014,0.5137400031089783,0.00029920567482839947
9,evaluation,1.263091278981559,0.5471000075340271,0.00029920567482839947
10,train,1.3165402598393239,0.5244200229644775,0.00029903905101205734
10,evaluation,1.198119973834557,0.5702000260353088,0.00029903905101205734
11,train,1.2940939552033954,0.5347999930381775,0.0002988566316905992
11,evaluation,1.1818254325963273,0.5781999826431274,0.0002988566316905992
12,train,1.280452094724416,0.538320004940033,0.00029865843686835924
12,evaluation,1.1572711482832703,0.5781000256538391,0.00029865843686835924
13,train,1.2625657137092727,0.5422599911689758,0.00029844448827963323
13,evaluation,1.144710383083247,0.5940999984741211,0.00029844448827963323
14,train,1.247391984895672,0.5488399863243103,0.0002982148093862949
14,evaluation,1.1222164283824871,0.5986999869346619,0.0002982148093862949
15,train,1.2338917549613797,0.5559599995613098,0.00029796942537522314
15,evaluation,1.1308094459243967,0.6004999876022339,0.00029796942537522314
16,train,1.2226444089504154,0.5600200295448303,0.00029770836315553997
16,evaluation,1.1427954246726217,0.5929999947547913,0.00029770836315553997
17,train,1.2025652078106581,0.5687199831008911,0.0002974316513556598
17,evaluation,1.1303264709967602,0.6021999716758728,0.0002974316513556598
18,train,1.1952333063115854,0.5718600153923035,0.0002971393203201496
18,evaluation,1.0610674936560136,0.6258000135421753,0.0002971393203201496
19,train,1.191523336693454,0.5727800130844116,0.00029683140210640173
19,evaluation,1.0379668858986866,0.636900007724762,0.00029683140210640173
20,train,1.1807958241313925,0.5756400227546692,0.00029650793048111826
20,evaluation,1.0814988462230828,0.619700014591217,0.00029650793048111826
21,train,1.166855430968887,0.5778399705886841,0.0002961689409166081
21,evaluation,1.1042315899571287,0.6103000044822693,0.0002961689409166081
22,train,1.1593473337190536,0.5861999988555908,0.0002958144705868971
22,evaluation,1.0249534860441956,0.6348000168800354,0.0002958144705868971
23,train,1.1466217551694806,0.591159999370575,0.0002954445583636514
23,evaluation,1.0313135777847677,0.6338000297546387,0.0002954445583636514
24,train,1.1442927224251924,0.5924199819564819,0.00029505924481191474
24,evaluation,1.0140360465532616,0.6437000036239624,0.00029505924481191474
25,train,1.138338660340175,0.593500018119812,0.0002946585721856603
25,evaluation,1.066079785552206,0.6292999982833862,0.0002946585721856603
26,train,1.129085299456516,0.5974799990653992,0.0002942425844231566
26,evaluation,1.0301256541964374,0.6355999708175659,0.0002942425844231566
27,train,1.123437981166498,0.5975599884986877,0.0002938113271421496
27,evaluation,1.0206859534299826,0.6392999887466431,0.0002938113271421496
28,train,1.1154662991118858,0.6003000140190125,0.00029336484763486
28,evaluation,0.9667212299153775,0.6592000126838684,0.00029336484763486
29,train,1.112104609189436,0.6050800085067749,0.00029290319486279713
29,evaluation,0.9932825821864454,0.6485999822616577,0.00029290319486279713
30,train,1.1069895253157067,0.6035799980163574,0.0002924264194513898
30,evaluation,0.9721846376793294,0.6621999740600586,0.0002924264194513898
31,train,1.0961442940375383,0.6074399948120117,0.00029193457368443463
31,evaluation,0.97107463622395,0.6610000133514404,0.00029193457368443463
32,train,1.0861599227351606,0.6113600134849548,0.0002914277114983626
32,evaluation,0.9926245212554932,0.6517999768257141,0.0002914277114983626
33,train,1.0850211956616862,0.6115400195121765,0.00029090588847632414
33,evaluation,0.9648120818258841,0.659600019454956,0.00029090588847632414
34,train,1.0776961860449419,0.6174799799919128,0.0002903691618420941
34,evaluation,0.9425256999233101,0.6692000031471252,0.0002903691618420941
35,train,1.0815374491464755,0.6138200163841248,0.0002898175904537963
35,evaluation,0.9466933411887929,0.6711000204086304,0.0002898175904537963
36,train,1.0714355306247312,0.616919994354248,0.00028925123479744914
36,evaluation,0.9504089891156063,0.6743000149726868,0.00028925123479744914
37,train,1.0679420051367388,0.6209200024604797,0.0002886701569803325
37,evaluation,0.9175878438768508,0.6814000010490417,0.0002886701569803325
38,train,1.0589003149810654,0.6237000226974487,0.00028807442072417716
38,evaluation,0.8981510710112656,0.6862999796867371,0.00028807442072417716
39,train,1.0585845082312288,0.622759997844696,0.000287464091358177
39,evaluation,0.9502377683603311,0.6707000136375427,0.000287464091358177
40,train,1.0564866758063627,0.6252400279045105,0.00028683923581182487
40,evaluation,0.9048960857753512,0.6851000189781189,0.00028683923581182487
41,train,1.0502955767199815,0.629360020160675,0.00028619992260757275
41,evaluation,0.9262042913255812,0.6794999837875366,0.00028619992260757275
42,train,1.044564650949005,0.6276800036430359,0.00028554622185331796
42,evaluation,0.9242266937147213,0.6766999959945679,0.00028554622185331796
43,train,1.0409926267536096,0.6302199959754944,0.00028487820523471477
43,evaluation,0.8820325611512873,0.6942999958992004,0.00028487820523471477
44,train,1.040447646089832,0.6295400261878967,0.00028419594600731323
44,evaluation,0.9115515102314043,0.682200014591217,0.00028419594600731323
45,train,1.0345342269029154,0.6337800025939941,0.00028349951898852603
45,evaluation,0.8922073418581034,0.6881999969482422,0.00028349951898852603
46,train,1.0329765113418365,0.6323400139808655,0.00028278900054942377
46,evaluation,0.9227937527849704,0.680899977684021,0.00028278900054942377
47,train,1.0223088887951257,0.6372399926185608,0.00028206446860636015
47,evaluation,0.9061670212806026,0.6876000165939331,0.00028206446860636015
48,train,1.0265117327270605,0.6356199979782104,0.00028132600261242746
48,evaluation,0.8856988270071489,0.6913999915122986,0.00028132600261242746
49,train,1.0189108975098262,0.638979971408844,0.0002805736835487436
49,evaluation,0.8974788098395625,0.6915000081062317,0.0002805736835487436
50,train,1.0192146017728254,0.6364799737930298,0.0002798075939155718
50,evaluation,0.8545619483235516,0.7037000060081482,0.0002798075939155718
51,train,1.0168216983070764,0.6407399773597717,0.0002790278177232734
51,evaluation,0.8751301908794837,0.6966999769210815,0.0002790278177232734
52,train,1.0144463602234335,0.6397600173950195,0.00027823444048309524
52,evaluation,0.8510053919840462,0.7024000287055969,0.00027823444048309524
53,train,1.0110337484218275,0.6423199772834778,0.0002774275491977922
53,evaluation,0.8585989882674399,0.705299973487854,0.0002774275491977922
54,train,1.0022304474240373,0.6440200209617615,0.00027660723235208647
54,evaluation,0.896052213409279,0.6920999884605408,0.00027660723235208647
55,train,0.9984434179942626,0.6456400156021118,0.0002757735799029644
55,evaluation,0.8855852892127218,0.6952000260353088,0.0002757735799029644
56,train,0.9991700611151088,0.6437600255012512,0.00027492668326981143
56,evaluation,0.8591352429571031,0.7077000141143799,0.00027492668326981143
57,train,0.9974743941860735,0.6462799906730652,0.00027406663532438707
57,evaluation,0.8947975386547137,0.6922000050544739,0.00027406663532438707
58,train,0.9922088261150643,0.6482599973678589,0.0002731935303806403
58,evaluation,0.8404052755500697,0.7103999853134155,0.0002731935303806403
59,train,0.9927972640527789,0.6481599807739258,0.00027230746418436733
59,evaluation,0.8608858962602253,0.7049000263214111,0.00027230746418436733
60,train,0.9875736931705719,0.6505799889564514,0.00027140853390271154
60,evaluation,0.8436812682996823,0.7098000049591064,0.00027140853390271154
61,train,0.9853418420647722,0.6512200236320496,0.0002704968381135084
61,evaluation,0.8818349038498311,0.7002000212669373,0.0002704968381135084
62,train,0.9895908141989842,0.6491400003433228,0.00026957247679447504
62,evaluation,0.8323979091040695,0.7091000080108643,0.00026957247679447504
63,train,0.9850949747178256,0.6512600183486938,0.00026863555131224676
63,evaluation,0.8769646664209003,0.6984000205993652,0.00026863555131224676
64,train,0.9729071611638569,0.6538199782371521,0.00026768616441126075
64,evaluation,0.8628266159492203,0.7039999961853027,0.00026768616441126075
65,train,0.9753018805133108,0.6529600024223328,0.0002667244202024894
65,evaluation,0.8417989830427532,0.7111999988555908,0.0002667244202024894
66,train,0.9736647215645636,0.6527000069618225,0.0002657504241520231
66,evaluation,0.8813842965077751,0.703000009059906,0.0002657504241520231
67,train,0.9728659543844745,0.6555399894714355,0.00026476428306950465
67,evaluation,0.8412416879134842,0.7157999873161316,0.00026476428306950465
68,train,0.9710948028222984,0.656000018119812,0.0002637661050964166
68,evaluation,0.8452295774145971,0.7111999988555908,0.0002637661050964166
69,train,0.967704770510154,0.656499981880188,0.00026275599969422214
69,evaluation,0.8446254119088378,0.7132999897003174,0.00026275599969422214
70,train,0.965384831209012,0.6575400233268738,0.00026173407763236143
70,evaluation,0.8726604852495314,0.7067999839782715,0.00026173407763236143
71,train,0.961221253018245,0.6600800156593323,0.00026070045097610465
71,evaluation,0.8347978735271888,0.7110999822616577,0.00026070045097610465
72,train,0.9553873404822386,0.660260021686554,0.0002596552330742625
72,evaluation,0.8729156248177155,0.7059999704360962,0.0002596552330742625
73,train,0.9585669609286901,0.6603400111198425,0.00025859853854675647
73,evaluation,0.8704775760445413,0.7053999900817871,0.00025859853854675647
74,train,0.9532116736902301,0.663640022277832,0.0002575304832720494
74,evaluation,0.8377206363255465,0.7148000001907349,0.0002575304832720494
75,train,0.950859015250145,0.6627600193023682,0.000256451184374438
75,evaluation,0.9159361984156356,0.691100001335144,0.000256451184374438
76,train,0.9574404596672643,0.6604400277137756,0.000255360760211209
76,evaluation,0.8270597948303705,0.7146999835968018,0.000255360760211209
77,train,0.9486334166868263,0.6604800224304199,0.0002542593303596599
77,evaluation,0.8109509190426597,0.723800003528595,0.0002542593303596599
78,train,0.9474665803067824,0.6649399995803833,0.0002531470156039858
78,evaluation,0.8381012414075151,0.7192000150680542,0.0002531470156039858
79,train,0.9432470731418151,0.6646000146865845,0.0002520239379220344
79,evaluation,0.8329263563397564,0.7159000039100647,0.0002520239379220344
80,train,0.9429861314766242,0.665880024433136,0.0002508902204719295
80,evaluation,0.8419789053216765,0.7145000100135803,0.0002508902204719295
81,train,0.9452053680444312,0.6656200289726257,0.0002497459875785653
81,evaluation,0.8305275417581389,0.7131999731063843,0.0002497459875785653
82,train,0.9362061471890306,0.6673200130462646,0.00024859136471997286
82,evaluation,0.8469257098210009,0.7145000100135803,0.00024859136471997286
83,train,0.9370403094669743,0.6650000214576721,0.00024742647851356
83,evaluation,0.8560642984848988,0.710099995136261,0.00024742647851356
84,train,0.9353374090341046,0.6685000061988831,0.00024625145670222645
84,evaluation,0.8119730368445192,0.7225000262260437,0.00024625145670222645
85,train,0.932036859147689,0.6697800159454346,0.00024506642814035504
85,evaluation,0.8355737237990657,0.7211999893188477,0.00024506642814035504
86,train,0.9333579970137847,0.6716799736022949,0.00024387152277968163
86,evaluation,0.8086508882196644,0.7264999747276306,0.00024387152277968163
87,train,0.9312754122497481,0.6718199849128723,0.0002426668716550444
87,evaluation,0.8074980370606049,0.7283999919891357,0.0002426668716550444
88,train,0.9354647503179663,0.668720006942749,0.0002414526068700143
88,evaluation,0.8128991964497144,0.7264000177383423,0.0002414526068700143
89,train,0.9230994810838529,0.6718000173568726,0.0002402288615824086
89,evaluation,0.8308056472223017,0.7232999801635742,0.0002402288615824086
90,train,0.9243497747899322,0.6733400225639343,0.00023899576998968842
90,evaluation,0.8140795608110065,0.7225000262260437,0.00023899576998968842
91,train,0.9223198094941161,0.6735399961471558,0.00023775346731424264
91,evaluation,0.8023019780086565,0.7289000153541565,0.00023775346731424264
92,train,0.9223978859384346,0.674560010433197,0.00023650208978855897
92,evaluation,0.8172224405445631,0.7226999998092651,0.00023650208978855897
93,train,0.9177694808491661,0.6752200126647949,0.00023524177464028488
93,evaluation,0.7984993842583669,0.7310000061988831,0.00023524177464028488
94,train,0.9230820737836306,0.6735399961471558,0.0002339726600771789
94,evaluation,0.7884684454036665,0.7310000061988831,0.0002339726600771789
95,train,0.9199736860706983,0.6738399863243103,0.0002326948852719545
95,evaluation,0.8001379310330258,0.7250999808311462,0.0002326948852719545
96,train,0.9198069973369999,0.6743599772453308,0.00023140859034701826
96,evaluation,0.8164035896711712,0.7282000184059143,0.00023140859034701826
97,train,0.9114294966773304,0.6770200133323669,0.00023011391635910388
97,evaluation,0.7852765676341479,0.7354000210762024,0.00023011391635910388
98,train,0.9109922063625072,0.6785799860954285,0.00022881100528380385
98,evaluation,0.7914455155783062,0.7332000136375427,0.00022881100528380385
99,train,0.9111701295808758,0.6764600276947021,0.0002275
99,evaluation,0.7919569656818728,0.7322999835014343,0.0002275
100,train,0.9141014233574538,0.6779400110244751,0.00022618104427419542
100,evaluation,0.8057047732268707,0.7251999974250793,0.00022618104427419542
101,train,0.9076880928500534,0.6780200004577637,0.0002248542827447487
101,evaluation,0.7980846332598336,0.7319999933242798,0.0002248542827447487
102,train,0.9098151147822895,0.6779599785804749,0.00022351986090601283
102,evaluation,0.7925218788883354,0.7317000031471252,0.00022351986090601283
103,train,0.9087118730520654,0.6778600215911865,0.00022217792509237998
103,evaluation,0.7914557373976405,0.7329999804496765,0.00022217792509237998
104,train,0.9033686087259551,0.6802999973297119,0.0002208286224622343
104,evaluation,0.827810845797575,0.7226999998092651,0.0002208286224622343
105,train,0.9049337649589304,0.681119978427887,0.00021947210098181448
105,evaluation,0.8062880891787855,0.7272999882698059,0.00021947210098181448
106,train,0.9012238127191353,0.6816400289535522,0.0002181085094089875
106,evaluation,0.7973275048823296,0.7269999980926514,0.0002181085094089875
107,train,0.8924207554753784,0.6819000244140625,0.0002167379972769355
107,evaluation,0.7813913275169421,0.7350000143051147,0.0002167379972769355
108,train,0.8992586477333323,0.6804599761962891,0.00021536071487775814
108,evaluation,0.7756660723988014,0.7368000149726868,0.00021536071487775814
109,train,0.8980031754354687,0.680899977684021,0.00021397681324599097
109,evaluation,0.8083483350427845,0.7282000184059143,0.00021397681324599097
110,train,0.892354681668684,0.6827600002288818,0.00021258644414204314
110,evaluation,0.8238065612467029,0.7242000102996826,0.00021258644414204314
111,train,0.8993363276771877,0.6838200092315674,0.0002111897600355549
111,evaluation,0.8245559772358665,0.7264999747276306,0.0002111897600355549
112,train,0.8896752411447217,0.684440016746521,0.00020978691408867772
112,evaluation,0.7795767633220817,0.7383999824523926,0.00020978691408867772
113,train,0.8936338295107302,0.6833599805831909,0.0002083780601392783
113,evaluation,0.7906283336349681,0.7346000075340271,0.0002083780601392783
114,train,0.8919353948529724,0.6845399737358093,0.00020696335268406848
114,evaluation,0.7730892851382871,0.7397000193595886,0.00020696335268406848
115,train,0.8928086303384103,0.6856399774551392,0.00020554294686166318
115,evaluation,0.7663246996795074,0.7408999800682068,0.00020554294686166318
116,train,0.8862717357437934,0.6868000030517578,0.00020411699843556725
116,evaluation,0.7637095308002038,0.7418000102043152,0.00020411699843556725
117,train,0.8845805754442044,0.6884999871253967,0.00020268566377709454
117,evaluation,0.7933832293824304,0.734499990940094,0.00020268566377709454
118,train,0.8828400669195463,0.6880199909210205,0.00020124909984822013
118,evaluation,0.8120107703571078,0.7310000061988831,0.00020124909984822013
119,train,0.8863593137172787,0.6866599917411804,0.00019980746418436736
119,evaluation,0.7741852621488934,0.7436000108718872,0.00019980746418436736
120,train,0.8814091796765242,0.6900399923324585,0.00019836091487713254
120,evaluation,0.8077616012549098,0.7310000061988831,0.00019836091487713254
121,train,0.8772714625843956,0.6889200210571289,0.00019690961055694836
121,evaluation,0.7839685429500628,0.7386999726295471,0.00019690961055694836
122,train,0.875545086458211,0.6902999877929688,0.00019545371037568823
122,evaluation,0.7598716918426224,0.7476999759674072,0.00019545371037568823
123,train,0.8824130696104006,0.6883999705314636,0.00019399337398921348
123,evaluation,0.7972782186315029,0.7340999841690063,0.00019399337398921348
124,train,0.8734419883974373,0.692579984664917,0.0001925287615398655
124,evaluation,0.7730892225156857,0.7407000064849854,0.0001925287615398655
125,train,0.8765082549865898,0.6911200284957886,0.0001910600336389039
125,evaluation,0.7953230221814747,0.7350999712944031,0.0001910600336389039
126,train,0.8708477623932197,0.6919000148773193,0.0001895873513488942
126,evaluation,0.787998166265367,0.7386999726295471,0.0001895873513488942
127,train,0.8687001852428212,0.6940199732780457,0.00018811087616604506
127,evaluation,0.7802805636502519,0.7390999794006348,0.00018811087616604506
128,train,0.8717733597206643,0.6940000057220459,0.00018663077000249866
128,evaluation,0.7608818525000464,0.7458999752998352,0.00018663077000249866
129,train,0.8745754672133405,0.6913599967956543,0.00018514719516857508
129,evaluation,0.7773110715648796,0.7379999756813049,0.00018514719516857508
130,train,0.8716495791664514,0.694159984588623,0.00018366031435497322
130,evaluation,0.7997657513316674,0.7329000234603882,0.00018366031435497322
