epoch,phase,loss,accuracy,lr
0,train,2.0053992768382782,0.24743999540805817,0.0002999920495579992
0,evaluation,1.8125495805016048,0.3264999985694885,0.0002999920495579992
1,train,1.8341574531686886,0.3087199926376343,0.00029996819910385256
1,evaluation,1.7845143275924875,0.34439998865127563,0.00029996819910385256
2,train,1.7677727556594498,0.33757999539375305,0.000299928451253031
2,evaluation,1.68453456329394,0.3709000051021576,0.000299928451253031
3,train,1.7062361694662773,0.36570000648498535,0.0002998728103643344
3,evaluation,1.6607149145271205,0.3815000057220459,0.0002998728103643344
4,train,1.6564098727672607,0.3900600075721741,0.00029980128253941313
4,evaluation,1.6054412383067458,0.40389999747276306,0.00029980128253941313
5,train,1.5942420953374994,0.41620001196861267,0.0002997138756220993
5,evaluation,1.4724295229851445,0.46619999408721924,0.0002997138756220993
6,train,1.5551043081161615,0.4299600124359131,0.0002996105991975463
6,evaluation,1.4574230562282513,0.46810001134872437,0.0002996105991975463
7,train,1.5226898391533386,0.4432399868965149,0.000299491464591178
7,evaluation,1.3872304898274095,0.49230000376701355,0.000299491464591178
8,train,1.4876699926298294,0.4604800045490265,0.00029935648486744646
8,evaluation,1.3913490349733377,0.492000013589859,0.00029935648486744646
9,train,1.4591623380056122,0.4665600061416626,0.00029920567482839947
9,evaluation,1.3539425195017947,0.5094000101089478,0.00029920567482839947
10,train,1.4409894772502772,0.47501999139785767,0.00029903905101205734
10,evaluation,1.3477020233492307,0.5121999979019165,0.00029903905101205734
11,train,1.4246315934773905,0.48065999150276184,0.0002988566316905992
11,evaluation,1.3115931281560584,0.5235000252723694,0.0002988566316905992
12,train,1.4065225261556522,0.48853999376296997,0.00029865843686835924
12,evaluation,1.280147879938536,0.5358999967575073,0.00029865843686835924
13,train,1.3853923179914274,0.4956800043582916,0.00029844448827963323
13,evaluation,1.2523726813400848,0.545799970626831,0.00029844448827963323
14,train,1.366642798914019,0.5041000247001648,0.0002982148093862949
14,evaluation,1.2467101706734187,0.5497999787330627,0.0002982148093862949
